time,GEN1:Vt,GEN2:Vt,GEN3:Vt,GEN4:Vt,GEN5:Vt,GEN6:Vt,GEN7:Vt,GEN8:Vt,GEN9:Vt,GEN10:Vt,GEN1:delta,GEN2:delta,GEN3:delta,GEN4:delta,GEN5:delta,GEN6:delta,GEN7:delta,GEN8:delta,GEN9:delta,GEN10:delta
1.42,0.9483920126124052,0.7570400898604454,0.7883127315718166,0.8207645555382448,0.7982566916314872,0.8904416385212195,0.9032198671864183,0.8720270943555027,0.8513154060853548,0.9177065985237464,1.248590881673641,3.4191074972178535,3.3137906377794497,3.4930481844300467,3.8481547522260118,3.1896373575140786,3.3193805027271903,3.303973805465367,3.736236389800988,2.2857077633395777
1.43,0.9487127065070908,0.7564356187299898,0.7880729522541848,0.8211176045485297,0.7986915083884305,0.8904893853067194,0.9034826722666979,0.8721774680997392,0.850073129083614,0.9179533502926979,1.2871555483625174,3.4589599424580166,3.3505652687056444,3.523564120687662,3.8803264766263106,3.2253886135498635,3.355702770317896,3.3377374098366204,3.775174644191744,2.318281685647889
1.44,0.9490761370733154,0.7559725611779546,0.7879513906700287,0.8215455809827236,0.7992726520882261,0.8905492098284742,0.9037654555196004,0.8724178126285347,0.8489175271131705,0.9182686403077658,1.3262994586956882,3.4987780427555064,3.387310808697002,3.5544573740703513,3.9122900877067925,3.2620483964359788,3.3931411908110443,3.3714752257893603,3.814115383932959,2.350919997737819
1.45,0.9494815316592732,0.7556535624758111,0.7879488163545232,0.8220468455640858,0.7999982368675984,0.8906206864645521,0.9040659699923219,0.872746916200869,0.8478512813820589,0.918651347382922,1.3660205044409532,3.538552942439478,3.4240275580116757,3.585746923171114,3.94405311309273,3.2996049365224347,3.431679759792664,3.405199096446955,3.853054595789631,2.383640308244561
1.46,0.949928067229626,0.7554809725301176,0.7880656749548339,0.8226194596266349,0.8008657501983802,0.8907030261772317,0.9043814631453911,0.8731632701417132,0.8468769266400515,0.9191001844352003,1.406316473182719,3.5782759667355553,3.4607162264644193,3.6174506383611673,3.9756238100276784,3.3380444364044175,3.4712991794959187,3.4389218575785483,3.8919883962659525,2.4164607876898425
1.47,0.9504148736086508,0.7554568382335597,0.7883020905616306,0.8232612000424075,0.8018720649945228,0.8907951151841088,0.9047087351724081,0.8736650872756151,0.8459968483223246,0.9196137131890214,1.4471850476526418,3.6179386423234776,3.4973779366437725,3.649585225444611,4.007011181169646,3.3773511521353576,3.5119769558987137,3.472657306565044,3.930913038601645,2.4494001068248736
1.48,0.9509410368221072,0.7555828960417682,0.7886578693111069,0.8239695761449151,0.8030134557479494,0.8908955570602394,0.9050442028323746,0.8742503225088837,0.8452132794857008,0.9201903598169424,1.488623804731603,3.657532720667571,3.5340142283107454,3.682166174126986,4.0382249919666044,3.417507478356495,3.55368750633482,3.5064201680966813,3.96982492117862,2.4824773727110276
1.49,0.951505602512986,0.75586056482322,0.7891325042982575,0.824741848749879,0.8042856189714204,0.8910027179169631,0.9053839684174548,0.8749166954036407,0.8445282975896302,0.9208284313516707,1.5306302141464723,3.6970502041272617,3.5706270638232427,3.71520771123378,4.069275789120828,3.4584940368578234,3.596402277642046,3.5402260563292063,4.008720597254544,2.5157120625691087
1.5,0.9521075794046046,0.7562909390544524,0.7897251818495699,0.8255750513613747,0.8056836982061217,0.8911147743021405,0.9057238934343446,0.8756617145628177,0.8439438211933425,0.9215261326935761,1.5732016368856891,3.7364833748298483,3.6072188344053426,3.748722758619844,4.100174919591672,3.500289768093473,3.6400898748448656,3.574091433227403,4.047596785927834,2.549123955454433
1.51,0.9527459427826704,0.7568747824515335,0.790434789202524,0.8264660136264416,0.8072023138121859,0.8912297634528296,0.9060596765053903,0.8764827036159353,0.8434616066539912,0.9222815840262214,1.6163353233581115,3.775824826262268,3.6437923670583423,3.782722895719551,4.13093454953099,3.5428720251834256,3.684716200321443,3.608033562835433,4.086450384228026,2.5827330618448623
